epoch,iter,decompress_avg,decompress_sum,load_time,transfer,forward,backward,aug.Normalize,aug.RandomCrop,aug.RandomHorizontalFlip,aug.ToTensor,aug.Normalize_sum,aug.RandomCrop_sum,aug.RandomHorizontalFlip_sum,aug.ToTensor_sum
3,0,0.000000,0.000000,0.010624,0.000041,0.001896,0.004857,0.000024,0.001565,0.000034,0.002155,0.000013,0.000827,0.000036,0.002282
3,1,0.000000,0.000000,0.008397,0.000045,0.001781,0.007309,0.000021,0.001355,0.000030,0.001934,0.000017,0.001112,0.000028,0.001762
3,2,0.000000,0.000000,0.008627,0.000034,0.001815,0.005340,0.000021,0.001354,0.000033,0.002090,0.000016,0.001037,0.000027,0.001742
3,3,0.000000,0.000000,0.008211,0.000033,0.001793,0.002999,0.000023,0.001475,0.000030,0.001930,0.000013,0.000834,0.000027,0.001746
3,4,0.000000,0.000000,0.008060,0.000032,0.001762,0.003360,0.000021,0.001359,0.000030,0.001913,0.000013,0.000838,0.000027,0.001739
3,5,0.000000,0.000000,0.007980,0.000033,0.001751,0.003547,0.000021,0.001341,0.000030,0.001909,0.000012,0.000797,0.000027,0.001745
3,6,0.000000,0.000000,0.007968,0.000033,0.001765,0.002940,0.000021,0.001335,0.000030,0.001919,0.000013,0.000817,0.000027,0.001727
3,7,0.000000,0.000000,0.007929,0.000033,0.001768,0.003011,0.000021,0.001340,0.000030,0.001904,0.000012,0.000786,0.000027,0.001731
3,8,0.000000,0.000000,0.008005,0.000033,0.001761,0.003573,0.000021,0.001332,0.000030,0.001917,0.000013,0.000801,0.000027,0.001733
3,9,0.000000,0.000000,0.007974,0.000034,0.001797,0.003307,0.000021,0.001338,0.000030,0.001914,0.000012,0.000794,0.000027,0.001739
3,10,0.000000,0.000000,0.008054,0.000034,0.001768,0.002967,0.000021,0.001352,0.000032,0.002040,0.000010,0.000633,0.000028,0.001822
3,11,0.000000,0.000000,0.014353,0.000032,0.001631,0.005916,0.000039,0.002512,0.000054,0.003456,0.000022,0.001435,0.000053,0.003414
3,12,0.000000,0.000000,0.008932,0.000034,0.001776,0.002887,0.000024,0.001512,0.000033,0.002127,0.000014,0.000876,0.000030,0.001947
3,13,0.000000,0.000000,0.007974,0.000033,0.001794,0.003209,0.000021,0.001341,0.000030,0.001915,0.000012,0.000797,0.000027,0.001743
3,14,0.000000,0.000000,0.007971,0.000034,0.001770,0.003378,0.000021,0.001335,0.000032,0.002073,0.000010,0.000658,0.000027,0.001725
3,15,0.000000,0.000000,0.008019,0.000033,0.001769,0.002995,0.000021,0.001346,0.000030,0.001905,0.000013,0.000858,0.000027,0.001729
