epoch,iter,decompress_avg,decompress_sum,load_time,transfer,forward,backward,aug.Normalize,aug.RandomCrop,aug.RandomHorizontalFlip,aug.ToTensor,aug.Normalize_sum,aug.RandomCrop_sum,aug.RandomHorizontalFlip_sum,aug.ToTensor_sum
1,0,0.000000,0.000000,0.010600,0.000040,0.003409,0.006814,0.000025,0.001603,0.000035,0.002216,0.000012,0.000762,0.000032,0.002051
1,1,0.000000,0.000000,0.008386,0.000035,0.001813,0.005329,0.000022,0.001381,0.000031,0.001992,0.000014,0.000918,0.000029,0.001827
1,2,0.000000,0.000000,0.008230,0.000034,0.001809,0.004211,0.000021,0.001375,0.000031,0.001953,0.000014,0.000868,0.000028,0.001779
1,3,0.000000,0.000000,0.008223,0.000033,0.001837,0.004780,0.000022,0.001382,0.000031,0.002004,0.000012,0.000787,0.000028,0.001801
1,4,0.000000,0.000000,0.007996,0.000033,0.001816,0.003737,0.000021,0.001325,0.000030,0.001935,0.000012,0.000774,0.000027,0.001743
1,5,0.000000,0.000000,0.008447,0.000033,0.001804,0.005273,0.000021,0.001360,0.000030,0.001949,0.000011,0.000695,0.000035,0.002223
1,6,0.000000,0.000000,0.008130,0.000033,0.001823,0.005091,0.000021,0.001349,0.000030,0.001934,0.000014,0.000873,0.000028,0.001760
1,7,0.000000,0.000000,0.008172,0.000035,0.001822,0.005235,0.000021,0.001350,0.000031,0.001994,0.000013,0.000841,0.000028,0.001772
1,8,0.000000,0.000000,0.010340,0.000057,0.002408,0.005719,0.000027,0.001747,0.000040,0.002590,0.000013,0.000841,0.000037,0.002363
1,9,0.000000,0.000000,0.009698,0.000034,0.001825,0.004410,0.000025,0.001629,0.000037,0.002339,0.000014,0.000901,0.000033,0.002109
1,10,0.000000,0.000000,0.008102,0.000033,0.001800,0.004549,0.000021,0.001348,0.000030,0.001913,0.000014,0.000882,0.000027,0.001756
1,11,0.000000,0.000000,0.008078,0.000034,0.001818,0.004205,0.000021,0.001340,0.000030,0.001946,0.000013,0.000823,0.000027,0.001749
1,12,0.000000,0.000000,0.008098,0.000032,0.001852,0.004313,0.000021,0.001353,0.000030,0.001941,0.000013,0.000822,0.000027,0.001756
1,13,0.000000,0.000000,0.008119,0.000033,0.001824,0.005083,0.000021,0.001357,0.000030,0.001944,0.000013,0.000847,0.000028,0.001785
1,14,0.000000,0.000000,0.007999,0.000032,0.001802,0.005423,0.000021,0.001339,0.000030,0.001927,0.000013,0.000823,0.000027,0.001729
1,15,0.000000,0.000000,0.008008,0.000033,0.001803,0.003577,0.000021,0.001327,0.000030,0.001922,0.000013,0.000838,0.000027,0.001732
1,16,0.000000,0.000000,0.008074,0.000044,0.001809,0.004342,0.000021,0.001331,0.000031,0.001958,0.000013,0.000825,0.000027,0.001751
1,17,0.000000,0.000000,0.008018,0.000033,0.001829,0.005370,0.000021,0.001318,0.000030,0.001940,0.000013,0.000854,0.000027,0.001741
1,18,0.000000,0.000000,0.008152,0.000037,0.001810,0.003957,0.000021,0.001340,0.000031,0.001953,0.000014,0.000885,0.000028,0.001761
1,19,0.000000,0.000000,0.008052,0.000032,0.001850,0.004616,0.000021,0.001332,0.000030,0.001949,0.000013,0.000830,0.000027,0.001748
1,20,0.000000,0.000000,0.008060,0.000033,0.001893,0.003967,0.000021,0.001358,0.000030,0.001945,0.000013,0.000809,0.000027,0.001744
1,21,0.000000,0.000000,0.008504,0.000034,0.001818,0.004859,0.000021,0.001362,0.000035,0.002240,0.000011,0.000722,0.000031,0.001962
1,22,0.000000,0.000000,0.008001,0.000033,0.001831,0.005012,0.000021,0.001335,0.000032,0.002021,0.000011,0.000726,0.000027,0.001727
1,23,0.000000,0.000000,0.008096,0.000032,0.001818,0.003976,0.000021,0.001350,0.000030,0.001938,0.000013,0.000860,0.000027,0.001740
1,24,0.000000,0.000000,0.008298,0.000033,0.001814,0.004965,0.000022,0.001394,0.000031,0.001979,0.000013,0.000863,0.000028,0.001802
1,25,0.000000,0.000000,0.008039,0.000034,0.001838,0.003961,0.000021,0.001324,0.000030,0.001915,0.000013,0.000837,0.000027,0.001748
1,26,0.000000,0.000000,0.008102,0.000033,0.001806,0.004871,0.000021,0.001349,0.000033,0.002115,0.000011,0.000686,0.000027,0.001756
1,27,0.000000,0.000000,0.008052,0.000032,0.001825,0.005134,0.000021,0.001344,0.000030,0.001941,0.000013,0.000824,0.000027,0.001745
1,28,0.000000,0.000000,0.008159,0.000033,0.001809,0.004581,0.000021,0.001350,0.000031,0.001963,0.000013,0.000852,0.000028,0.001770
1,29,0.000000,0.000000,0.008055,0.000033,0.001845,0.005263,0.000021,0.001336,0.000030,0.001946,0.000013,0.000852,0.000027,0.001736
1,30,0.000000,0.000000,0.007955,0.000033,0.001889,0.004286,0.000021,0.001331,0.000030,0.001936,0.000012,0.000765,0.000027,0.001742
1,31,0.000000,0.000000,0.008158,0.000034,0.002001,0.006184,0.000021,0.001369,0.000030,0.001943,0.000012,0.000779,0.000028,0.001768
1,32,0.000000,0.000000,0.011406,0.000041,0.002134,0.003850,0.000030,0.001897,0.000045,0.002864,0.000017,0.001078,0.000039,0.002502
1,33,0.000000,0.000000,0.009333,0.000036,0.001973,0.005414,0.000024,0.001505,0.000035,0.002258,0.000017,0.001057,0.000031,0.001976
1,34,0.000000,0.000000,0.008046,0.000033,0.001823,0.005003,0.000021,0.001335,0.000030,0.001920,0.000010,0.000655,0.000030,0.001922
1,35,0.000000,0.000000,0.011198,0.000031,0.001686,0.002555,0.000028,0.001812,0.000042,0.002692,0.000018,0.001176,0.000037,0.002390
1,36,0.000000,0.000000,0.008021,0.000045,0.001688,0.002535,0.000021,0.001332,0.000030,0.001935,0.000013,0.000816,0.000027,0.001725
1,37,0.000000,0.000000,0.007380,0.000031,0.001648,0.002563,0.000019,0.001233,0.000029,0.001852,0.000010,0.000645,0.000025,0.001618
1,38,0.000000,0.000000,0.007857,0.000031,0.001681,0.002669,0.000021,0.001318,0.000030,0.001940,0.000011,0.000710,0.000027,0.001713
1,39,0.000000,0.000000,0.007475,0.000031,0.001647,0.002686,0.000019,0.001232,0.000028,0.001790,0.000011,0.000695,0.000026,0.001635
1,40,0.000000,0.000000,0.007906,0.000033,0.001776,0.002746,0.000021,0.001313,0.000030,0.001917,0.000011,0.000715,0.000027,0.001739
1,41,0.000000,0.000000,0.007651,0.000032,0.001775,0.002739,0.000020,0.001295,0.000029,0.001833,0.000011,0.000728,0.000026,0.001666
1,42,0.000000,0.000000,0.007878,0.000031,0.001735,0.002622,0.000021,0.001330,0.000029,0.001888,0.000012,0.000746,0.000027,0.001715
1,43,0.000000,0.000000,0.011795,0.000032,0.001686,0.005976,0.000032,0.002020,0.000046,0.002929,0.000020,0.001293,0.000042,0.002662
1,44,0.000000,0.000000,0.008126,0.000033,0.001820,0.003514,0.000021,0.001346,0.000030,0.001941,0.000013,0.000821,0.000028,0.001763
1,45,0.000000,0.000000,0.007938,0.000034,0.001826,0.004127,0.000021,0.001346,0.000030,0.001913,0.000012,0.000780,0.000027,0.001725
1,46,0.000000,0.000000,0.008143,0.000033,0.001806,0.005385,0.000021,0.001326,0.000033,0.002092,0.000013,0.000805,0.000027,0.001722
1,47,0.000000,0.000000,0.007969,0.000033,0.001797,0.004806,0.000021,0.001320,0.000030,0.001915,0.000013,0.000818,0.000027,0.001724
1,48,0.000000,0.000000,0.007977,0.000032,0.001831,0.004952,0.000021,0.001316,0.000030,0.001916,0.000013,0.000815,0.000027,0.001723
1,49,0.000000,0.000000,0.007960,0.000033,0.001794,0.003691,0.000020,0.001311,0.000030,0.001902,0.000013,0.000854,0.000027,0.001720
1,50,0.000000,0.000000,0.008029,0.000034,0.001813,0.004288,0.000021,0.001321,0.000030,0.001932,0.000014,0.000865,0.000027,0.001730
1,51,0.000000,0.000000,0.007982,0.000034,0.001795,0.005595,0.000021,0.001327,0.000030,0.001914,0.000012,0.000768,0.000027,0.001750
1,52,0.000000,0.000000,0.007986,0.000033,0.001802,0.006056,0.000021,0.001318,0.000030,0.001920,0.000013,0.000822,0.000027,0.001740
1,53,0.000000,0.000000,0.007972,0.000033,0.001823,0.004133,0.000021,0.001329,0.000030,0.001918,0.000013,0.000823,0.000027,0.001723
1,54,0.000000,0.000000,0.008328,0.000032,0.001796,0.004956,0.000021,0.001348,0.000033,0.002113,0.000010,0.000656,0.000032,0.002024
1,55,0.000000,0.000000,0.008828,0.000034,0.001802,0.004739,0.000021,0.001362,0.000033,0.002126,0.000014,0.000865,0.000032,0.002029
1,56,0.000000,0.000000,0.008120,0.000033,0.001847,0.005812,0.000021,0.001338,0.000030,0.001938,0.000012,0.000789,0.000027,0.001741
1,57,0.000000,0.000000,0.007967,0.000033,0.001775,0.004147,0.000021,0.001333,0.000030,0.001928,0.000012,0.000786,0.000027,0.001734
1,58,0.000000,0.000000,0.008407,0.000035,0.001813,0.005044,0.000022,0.001380,0.000033,0.002090,0.000011,0.000694,0.000031,0.002003
1,59,0.000000,0.000000,0.008081,0.000035,0.001811,0.003759,0.000021,0.001331,0.000030,0.001938,0.000013,0.000825,0.000027,0.001754
1,60,0.000000,0.000000,0.008063,0.000034,0.001804,0.004803,0.000021,0.001336,0.000030,0.001944,0.000013,0.000833,0.000027,0.001740
1,61,0.000000,0.000000,0.007948,0.000033,0.001846,0.005177,0.000021,0.001327,0.000030,0.001931,0.000012,0.000787,0.000027,0.001720
1,62,0.000000,0.000000,0.008034,0.000034,0.001845,0.003675,0.000021,0.001334,0.000030,0.001922,0.000013,0.000855,0.000027,0.001746
1,63,0.000000,0.000000,0.008018,0.000033,0.001814,0.004183,0.000021,0.001331,0.000031,0.001956,0.000012,0.000794,0.000027,0.001740
1,64,0.000000,0.000000,0.008070,0.000035,0.001825,0.004831,0.000021,0.001343,0.000031,0.001971,0.000013,0.000804,0.000027,0.001747
1,65,0.000000,0.000000,0.008004,0.000043,0.001824,0.006092,0.000021,0.001328,0.000030,0.001928,0.000013,0.000839,0.000027,0.001739
1,66,0.000000,0.000000,0.008140,0.000034,0.001835,0.005077,0.000021,0.001326,0.000031,0.001980,0.000014,0.000899,0.000027,0.001747
1,67,0.000000,0.000000,0.008017,0.000034,0.001849,0.004122,0.000021,0.001368,0.000030,0.001936,0.000012,0.000775,0.000027,0.001736
1,68,0.000000,0.000000,0.007975,0.000034,0.001857,0.005142,0.000021,0.001332,0.000030,0.001943,0.000012,0.000789,0.000027,0.001726
1,69,0.000000,0.000000,0.008007,0.000034,0.001822,0.003837,0.000021,0.001336,0.000030,0.001907,0.000013,0.000847,0.000027,0.001731
1,70,0.000000,0.000000,0.008585,0.000033,0.001825,0.004936,0.000021,0.001348,0.000031,0.001956,0.000011,0.000678,0.000037,0.002375
1,71,0.000000,0.000000,0.008009,0.000032,0.001822,0.004481,0.000021,0.001324,0.000030,0.001922,0.000013,0.000819,0.000027,0.001734
1,72,0.000000,0.000000,0.008012,0.000034,0.001819,0.005593,0.000021,0.001324,0.000030,0.001926,0.000013,0.000808,0.000027,0.001742
1,73,0.000000,0.000000,0.008170,0.000034,0.001813,0.003698,0.000021,0.001321,0.000030,0.001940,0.000015,0.000971,0.000027,0.001751
