epoch,iter,decompress_avg,decompress_sum,load_time,transfer,forward,backward,aug.Normalize,aug.RandomCrop,aug.RandomHorizontalFlip,aug.ToTensor,aug.Normalize_sum,aug.RandomCrop_sum,aug.RandomHorizontalFlip_sum,aug.ToTensor_sum
5,0,0.000000,0.000000,0.010953,0.000047,0.002048,0.006165,0.000024,0.001550,0.000036,0.002309,0.000013,0.000834,0.000033,0.002126
5,1,0.000000,0.000000,0.008672,0.000039,0.001882,0.002960,0.000022,0.001409,0.000031,0.001991,0.000016,0.001032,0.000029,0.001837
5,2,0.000000,0.000000,0.008229,0.000039,0.001806,0.005106,0.000021,0.001340,0.000030,0.001923,0.000015,0.000935,0.000027,0.001737
5,3,0.000000,0.000000,0.008212,0.000039,0.001918,0.005454,0.000021,0.001355,0.000030,0.001912,0.000013,0.000863,0.000028,0.001771
5,4,0.000000,0.000000,0.008735,0.000039,0.001903,0.003522,0.000023,0.001452,0.000032,0.002016,0.000015,0.000946,0.000029,0.001874
5,5,0.000000,0.000000,0.007768,0.000039,0.001863,0.004758,0.000020,0.001273,0.000028,0.001791,0.000013,0.000863,0.000026,0.001647
5,6,0.000000,0.000000,0.008316,0.000042,0.001864,0.003767,0.000021,0.001367,0.000030,0.001918,0.000014,0.000922,0.000028,0.001762
5,7,0.000000,0.000000,0.007549,0.000041,0.001857,0.004952,0.000019,0.001226,0.000027,0.001722,0.000012,0.000800,0.000025,0.001615
5,8,0.000000,0.000000,0.007940,0.000043,0.001887,0.005744,0.000020,0.001279,0.000028,0.001801,0.000014,0.000920,0.000026,0.001664
5,9,0.000000,0.000000,0.008604,0.000044,0.002028,0.003938,0.000022,0.001405,0.000031,0.001978,0.000015,0.000944,0.000029,0.001833
5,10,0.000000,0.000000,0.007738,0.000043,0.001888,0.004502,0.000020,0.001287,0.000027,0.001745,0.000014,0.000882,0.000026,0.001634
5,11,0.000000,0.000000,0.007666,0.000044,0.001909,0.005395,0.000019,0.001237,0.000027,0.001729,0.000013,0.000857,0.000025,0.001628
5,12,0.000000,0.000000,0.008109,0.000044,0.001880,0.005824,0.000021,0.001337,0.000029,0.001849,0.000014,0.000908,0.000027,0.001724
5,13,0.000000,0.000000,0.008648,0.000045,0.002047,0.007340,0.000022,0.001417,0.000032,0.002026,0.000014,0.000915,0.000029,0.001847
5,14,0.000000,0.000000,0.008539,0.000049,0.002072,0.005159,0.000021,0.001374,0.000030,0.001915,0.000015,0.000945,0.000028,0.001784
5,15,0.000000,0.000000,0.009075,0.000056,0.002287,0.005226,0.000022,0.001410,0.000030,0.001907,0.000016,0.001055,0.000034,0.002182
5,16,0.000000,0.000000,0.012360,0.000063,0.002778,0.003272,0.000030,0.001902,0.000052,0.003301,0.000019,0.001229,0.000040,0.002544
5,17,0.000000,0.000000,0.008943,0.000054,0.002138,0.002572,0.000022,0.001406,0.000031,0.001973,0.000017,0.001104,0.000029,0.001884
5,18,0.000000,0.000000,0.009326,0.000047,0.002099,0.002500,0.000022,0.001412,0.000039,0.002509,0.000016,0.001046,0.000030,0.001919
5,19,0.000000,0.000000,0.008903,0.000046,0.002030,0.002267,0.000021,0.001375,0.000034,0.002164,0.000017,0.001117,0.000029,0.001836
5,20,0.000000,0.000000,0.008946,0.000043,0.001932,0.002339,0.000023,0.001460,0.000033,0.002096,0.000014,0.000921,0.000033,0.002106
5,21,0.000000,0.000000,0.008740,0.000040,0.001903,0.002123,0.000022,0.001409,0.000032,0.002072,0.000014,0.000896,0.000032,0.002031
5,22,0.000000,0.000000,0.008645,0.000039,0.001872,0.002231,0.000024,0.001547,0.000030,0.001949,0.000014,0.000893,0.000030,0.001949
5,23,0.000000,0.000000,0.008275,0.000036,0.001836,0.002070,0.000021,0.001365,0.000030,0.001934,0.000015,0.000971,0.000027,0.001740
5,24,0.000000,0.000000,0.008599,0.000037,0.001829,0.002133,0.000021,0.001363,0.000037,0.002337,0.000011,0.000694,0.000030,0.001951
5,25,0.000000,0.000000,0.008213,0.000034,0.001982,0.002338,0.000021,0.001350,0.000030,0.001923,0.000015,0.000959,0.000027,0.001759
5,26,0.000000,0.000000,0.008987,0.000034,0.001765,0.002073,0.000022,0.001437,0.000035,0.002248,0.000012,0.000736,0.000034,0.002189
5,27,0.000000,0.000000,0.008372,0.000033,0.001743,0.002071,0.000021,0.001356,0.000033,0.002115,0.000010,0.000672,0.000032,0.002040
5,28,0.000000,0.000000,0.008613,0.000035,0.001755,0.002060,0.000021,0.001336,0.000031,0.001973,0.000021,0.001340,0.000027,0.001753
5,29,0.000000,0.000000,0.008650,0.000037,0.002148,0.002439,0.000022,0.001431,0.000032,0.002040,0.000015,0.000979,0.000029,0.001850
5,30,0.000000,0.000000,0.009341,0.000034,0.001753,0.001949,0.000024,0.001525,0.000037,0.002363,0.000016,0.001043,0.000031,0.001958
5,31,0.000000,0.000000,0.008488,0.000033,0.001774,0.002023,0.000021,0.001339,0.000037,0.002367,0.000010,0.000667,0.000030,0.001914
5,32,0.000000,0.000000,0.010040,0.000039,0.002021,0.002154,0.000025,0.001587,0.000042,0.002666,0.000014,0.000906,0.000033,0.002094
5,33,0.000000,0.000000,0.008433,0.000034,0.001758,0.002058,0.000021,0.001335,0.000031,0.001962,0.000015,0.000980,0.000027,0.001737
5,34,0.000000,0.000000,0.008084,0.000033,0.001749,0.001937,0.000021,0.001352,0.000030,0.001900,0.000014,0.000912,0.000027,0.001727
5,35,0.000000,0.000000,0.008111,0.000033,0.001753,0.001955,0.000021,0.001344,0.000030,0.001905,0.000014,0.000906,0.000027,0.001759
5,36,0.000000,0.000000,0.008036,0.000040,0.001756,0.001991,0.000021,0.001328,0.000031,0.001994,0.000013,0.000809,0.000027,0.001725
5,37,0.000000,0.000000,0.008050,0.000033,0.001732,0.001964,0.000021,0.001351,0.000030,0.001918,0.000013,0.000838,0.000027,0.001732
5,38,0.000000,0.000000,0.008038,0.000033,0.001756,0.001977,0.000021,0.001343,0.000029,0.001882,0.000014,0.000907,0.000027,0.001739
5,39,0.000000,0.000000,0.011316,0.000039,0.002086,0.004911,0.000029,0.001866,0.000041,0.002651,0.000019,0.001243,0.000039,0.002488
5,40,0.000000,0.000000,0.008079,0.000034,0.001775,0.002755,0.000021,0.001348,0.000030,0.001925,0.000013,0.000807,0.000027,0.001745
5,41,0.000000,0.000000,0.007330,0.000032,0.001681,0.002991,0.000019,0.001227,0.000027,0.001750,0.000011,0.000733,0.000025,0.001585
5,42,0.000000,0.000000,0.007929,0.000035,0.001788,0.003469,0.000021,0.001341,0.000030,0.001920,0.000012,0.000742,0.000027,0.001716
5,43,0.000000,0.000000,0.008105,0.000036,0.001888,0.002181,0.000021,0.001334,0.000031,0.001968,0.000013,0.000825,0.000027,0.001740
5,44,0.000000,0.000000,0.008051,0.000035,0.001765,0.002006,0.000021,0.001358,0.000030,0.001938,0.000012,0.000738,0.000027,0.001743
5,45,0.000000,0.000000,0.007915,0.000033,0.001748,0.001949,0.000021,0.001340,0.000029,0.001884,0.000011,0.000723,0.000027,0.001737
5,46,0.000000,0.000000,0.007911,0.000035,0.001751,0.002016,0.000021,0.001337,0.000029,0.001887,0.000011,0.000715,0.000027,0.001735
5,47,0.000000,0.000000,0.010517,0.000032,0.001670,0.005879,0.000026,0.001687,0.000041,0.002625,0.000018,0.001141,0.000037,0.002359
5,48,0.000000,0.000000,0.008410,0.000033,0.004633,0.004199,0.000022,0.001389,0.000031,0.002005,0.000014,0.000868,0.000029,0.001830
5,49,0.000000,0.000000,0.007430,0.000033,0.001681,0.005184,0.000019,0.001242,0.000029,0.001852,0.000010,0.000662,0.000025,0.001591
5,50,0.000000,0.000000,0.008169,0.000034,0.001758,0.004170,0.000021,0.001329,0.000030,0.001928,0.000015,0.000951,0.000027,0.001732
5,51,0.000000,0.000000,0.008159,0.000034,0.001689,0.004769,0.000021,0.001344,0.000030,0.001922,0.000013,0.000803,0.000029,0.001856
5,52,0.000000,0.000000,0.007601,0.000036,0.001762,0.004449,0.000020,0.001257,0.000028,0.001788,0.000013,0.000844,0.000025,0.001622
5,53,0.000000,0.000000,0.007444,0.000034,0.001698,0.005434,0.000019,0.001236,0.000027,0.001742,0.000013,0.000806,0.000025,0.001588
