epoch,iter,decompress_avg,decompress_sum,load_time,transfer,forward,backward,aug.Normalize,aug.RandomCrop,aug.RandomHorizontalFlip,aug.ToTensor,aug.Normalize_sum,aug.RandomCrop_sum,aug.RandomHorizontalFlip_sum,aug.ToTensor_sum
9,0,0.000000,0.000000,0.011279,0.000045,0.001945,0.003429,0.000026,0.001674,0.000036,0.002291,0.000013,0.000848,0.000035,0.002212
9,1,0.000000,0.000000,0.008373,0.000035,0.001718,0.001704,0.000021,0.001365,0.000030,0.001913,0.000016,0.000993,0.000028,0.001805
9,2,0.000000,0.000000,0.008133,0.000033,0.001691,0.001843,0.000021,0.001351,0.000030,0.001901,0.000014,0.000900,0.000028,0.001767
9,3,0.000000,0.000000,0.008154,0.000034,0.001695,0.003900,0.000021,0.001354,0.000031,0.001970,0.000012,0.000745,0.000030,0.001900
9,4,0.000000,0.000000,0.008560,0.000034,0.001677,0.001935,0.000022,0.001432,0.000032,0.002019,0.000014,0.000890,0.000029,0.001871
9,5,0.000000,0.000000,0.008371,0.000033,0.001698,0.001885,0.000021,0.001354,0.000033,0.002116,0.000015,0.000938,0.000027,0.001754
9,6,0.000000,0.000000,0.008346,0.000034,0.001680,0.001643,0.000021,0.001339,0.000030,0.001896,0.000013,0.000846,0.000032,0.002066
9,7,0.000000,0.000000,0.008278,0.000032,0.001696,0.003383,0.000021,0.001333,0.000033,0.002087,0.000010,0.000641,0.000032,0.002031
9,8,0.000000,0.000000,0.008368,0.000034,0.001683,0.002245,0.000021,0.001328,0.000030,0.001929,0.000010,0.000671,0.000035,0.002231
9,9,0.000000,0.000000,0.008367,0.000033,0.001697,0.002154,0.000021,0.001338,0.000033,0.002096,0.000010,0.000660,0.000032,0.002078
9,10,0.000000,0.000000,0.007996,0.000033,0.001688,0.002410,0.000022,0.001430,0.000032,0.002025,0.000010,0.000618,0.000028,0.001804
9,11,0.000000,0.000000,0.008316,0.000033,0.001673,0.004061,0.000021,0.001332,0.000032,0.002020,0.000013,0.000814,0.000030,0.001945
9,12,0.000000,0.000000,0.008323,0.000033,0.001675,0.003215,0.000021,0.001324,0.000029,0.001885,0.000010,0.000663,0.000035,0.002250
