epoch,iter,decompress_avg,decompress_sum,load_time,transfer,forward,backward,aug.Normalize,aug.RandomCrop,aug.RandomHorizontalFlip,aug.ToTensor,aug.Normalize_sum,aug.RandomCrop_sum,aug.RandomHorizontalFlip_sum,aug.ToTensor_sum
2,0,0.000000,0.000000,0.010700,0.000044,0.002031,0.007294,0.000025,0.001588,0.000035,0.002228,0.000012,0.000750,0.000032,0.002079
2,1,0.000000,0.000000,0.008741,0.000035,0.001857,0.006482,0.000021,0.001352,0.000031,0.001953,0.000022,0.001389,0.000028,0.001781
2,2,0.000000,0.000000,0.008354,0.000033,0.001836,0.005157,0.000021,0.001335,0.000033,0.002135,0.000010,0.000644,0.000032,0.002043
2,3,0.000000,0.000000,0.008615,0.000034,0.001826,0.005505,0.000021,0.001373,0.000033,0.002139,0.000011,0.000712,0.000034,0.002156
2,4,0.000000,0.000000,0.008381,0.000034,0.001834,0.006436,0.000021,0.001338,0.000033,0.002125,0.000010,0.000666,0.000032,0.002036
2,5,0.000000,0.000000,0.008515,0.000034,0.001821,0.006375,0.000022,0.001383,0.000031,0.001962,0.000010,0.000666,0.000036,0.002275
2,6,0.000000,0.000000,0.008460,0.000035,0.001839,0.005371,0.000021,0.001347,0.000036,0.002290,0.000010,0.000671,0.000030,0.001936
2,7,0.000000,0.000000,0.008541,0.000034,0.001816,0.004883,0.000021,0.001336,0.000032,0.002070,0.000018,0.001137,0.000028,0.001771
2,8,0.000000,0.000000,0.008464,0.000034,0.001819,0.006970,0.000021,0.001355,0.000038,0.002449,0.000011,0.000691,0.000027,0.001755
2,9,0.000000,0.000000,0.008325,0.000033,0.001825,0.006702,0.000021,0.001355,0.000030,0.001900,0.000010,0.000634,0.000035,0.002241
2,10,0.000000,0.000000,0.008690,0.000033,0.001814,0.003832,0.000022,0.001379,0.000033,0.002120,0.000011,0.000673,0.000036,0.002280
