epoch,iter,decompress_avg,decompress_sum,load_time,transfer,forward,backward,aug.Normalize,aug.RandomCrop,aug.RandomHorizontalFlip,aug.ToTensor,aug.Normalize_sum,aug.RandomCrop_sum,aug.RandomHorizontalFlip_sum,aug.ToTensor_sum
8,0,0.000000,0.000000,0.013781,0.000043,0.001932,0.002859,0.000027,0.001758,0.000037,0.002374,0.000013,0.000864,0.000036,0.002307
8,1,0.000000,0.000000,0.008260,0.000035,0.001716,0.001688,0.000021,0.001374,0.000031,0.001963,0.000012,0.000758,0.000028,0.001799
8,2,0.000000,0.000000,0.008063,0.000034,0.001689,0.003590,0.000021,0.001339,0.000030,0.001899,0.000013,0.000826,0.000027,0.001756
8,3,0.000000,0.000000,0.008105,0.000033,0.001665,0.001781,0.000021,0.001340,0.000032,0.002043,0.000012,0.000738,0.000027,0.001743
8,4,0.000000,0.000000,0.008129,0.000032,0.001568,0.003004,0.000021,0.001339,0.000031,0.001983,0.000013,0.000801,0.000027,0.001757
8,5,0.000000,0.000000,0.008922,0.000034,0.001694,0.001209,0.000023,0.001461,0.000033,0.002105,0.000013,0.000858,0.000030,0.001926
8,6,0.000000,0.000000,0.007971,0.000033,0.001671,0.001305,0.000021,0.001342,0.000030,0.001899,0.000012,0.000760,0.000027,0.001749
8,7,0.000000,0.000000,0.010995,0.000034,0.001699,0.004274,0.000029,0.001831,0.000043,0.002728,0.000018,0.001121,0.000038,0.002452
8,8,0.000000,0.000000,0.007822,0.000040,0.001579,0.002069,0.000020,0.001303,0.000029,0.001858,0.000012,0.000780,0.000027,0.001696
8,9,0.000000,0.000000,0.008305,0.000035,0.001620,0.004568,0.000021,0.001325,0.000030,0.001950,0.000017,0.001066,0.000027,0.001737
8,10,0.000000,0.000000,0.008045,0.000045,0.001686,0.001289,0.000021,0.001341,0.000030,0.001913,0.000011,0.000726,0.000027,0.001760
8,11,0.000000,0.000000,0.008013,0.000033,0.001671,0.001284,0.000021,0.001350,0.000030,0.001911,0.000012,0.000763,0.000027,0.001742
8,12,0.000000,0.000000,0.008017,0.000032,0.001651,0.001224,0.000021,0.001359,0.000030,0.001933,0.000012,0.000741,0.000027,0.001747
8,13,0.000000,0.000000,0.007605,0.000033,0.001701,0.001258,0.000020,0.001281,0.000029,0.001826,0.000011,0.000677,0.000026,0.001663
8,14,0.000000,0.000000,0.007990,0.000031,0.001648,0.001227,0.000021,0.001346,0.000030,0.001919,0.000011,0.000725,0.000027,0.001739
8,15,0.000000,0.000000,0.007927,0.000033,0.001653,0.001242,0.000021,0.001359,0.000030,0.001898,0.000011,0.000707,0.000027,0.001728
8,16,0.000000,0.000000,0.007981,0.000032,0.001645,0.001258,0.000021,0.001338,0.000030,0.001918,0.000012,0.000739,0.000027,0.001756
8,17,0.000000,0.000000,0.007971,0.000032,0.001652,0.001230,0.000021,0.001347,0.000030,0.001900,0.000012,0.000738,0.000027,0.001743
8,18,0.000000,0.000000,0.007951,0.000032,0.001647,0.001242,0.000021,0.001349,0.000030,0.001912,0.000011,0.000723,0.000027,0.001742
8,19,0.000000,0.000000,0.007378,0.000030,0.001545,0.001183,0.000020,0.001258,0.000028,0.001787,0.000011,0.000673,0.000025,0.001605
8,20,0.000000,0.000000,0.007936,0.000032,0.001667,0.001255,0.000021,0.001338,0.000030,0.001924,0.000011,0.000697,0.000027,0.001753
8,21,0.000000,0.000000,0.007979,0.000032,0.001678,0.001251,0.000021,0.001347,0.000030,0.001903,0.000012,0.000742,0.000028,0.001761
