epoch,iter,decompress_avg,decompress_sum,load_time,transfer,forward,backward,aug.Normalize,aug.RandomCrop,aug.RandomHorizontalFlip,aug.ToTensor,aug.Normalize_sum,aug.RandomCrop_sum,aug.RandomHorizontalFlip_sum,aug.ToTensor_sum
4,0,0.000000,0.000000,0.010006,0.000040,0.001889,0.004469,0.000023,0.001493,0.000031,0.002010,0.000011,0.000719,0.000030,0.001941
4,1,0.000000,0.000000,0.011187,0.000041,0.002405,0.003167,0.000029,0.001843,0.000043,0.002742,0.000016,0.001049,0.000039,0.002487
4,2,0.000000,0.000000,0.009838,0.000035,0.001884,0.004736,0.000026,0.001665,0.000037,0.002381,0.000015,0.000989,0.000033,0.002119
4,3,0.000000,0.000000,0.008153,0.000033,0.001757,0.002598,0.000022,0.001382,0.000030,0.001927,0.000013,0.000853,0.000027,0.001757
4,4,0.000000,0.000000,0.008036,0.000034,0.001758,0.003495,0.000021,0.001371,0.000030,0.001921,0.000012,0.000790,0.000027,0.001740
4,5,0.000000,0.000000,0.008048,0.000033,0.001771,0.003033,0.000021,0.001358,0.000030,0.001929,0.000013,0.000809,0.000028,0.001765
4,6,0.000000,0.000000,0.008077,0.000032,0.001774,0.002936,0.000022,0.001389,0.000030,0.001942,0.000012,0.000798,0.000027,0.001747
4,7,0.000000,0.000000,0.007999,0.000033,0.001760,0.003030,0.000021,0.001348,0.000030,0.001925,0.000013,0.000802,0.000027,0.001743
4,8,0.000000,0.000000,0.008021,0.000033,0.001766,0.003764,0.000021,0.001347,0.000030,0.001916,0.000013,0.000844,0.000027,0.001744
4,9,0.000000,0.000000,0.007998,0.000033,0.001755,0.003346,0.000021,0.001348,0.000030,0.001914,0.000012,0.000799,0.000027,0.001734
4,10,0.000000,0.000000,0.008079,0.000033,0.001770,0.002518,0.000021,0.001362,0.000031,0.002010,0.000012,0.000751,0.000027,0.001753
4,11,0.000000,0.000000,0.008036,0.000033,0.001759,0.003148,0.000021,0.001352,0.000031,0.001954,0.000013,0.000810,0.000027,0.001737
4,12,0.000000,0.000000,0.007987,0.000033,0.001771,0.003240,0.000021,0.001340,0.000030,0.001919,0.000013,0.000809,0.000027,0.001741
4,13,0.000000,0.000000,0.011749,0.000035,0.001784,0.003745,0.000032,0.002033,0.000044,0.002844,0.000019,0.001201,0.000041,0.002652
4,14,0.000000,0.000000,0.008075,0.000033,0.001758,0.002833,0.000021,0.001343,0.000030,0.001948,0.000012,0.000796,0.000028,0.001767
4,15,0.000000,0.000000,0.007992,0.000032,0.001733,0.003537,0.000021,0.001335,0.000033,0.002086,0.000011,0.000698,0.000027,0.001721
